Deathrate/Population(Crude Deathrate),Population,Total_deaths_June 20,Population_density,Area (sq. mi.),Net migration,GDP_per_capita,GNP per Capita,Literacy (%),Total_tests_June20,Total_cases-June20,Climate,Birthrate,Industry,Agriculture,CVD_death_rate,median_age,aged_65_older,aged_70_older,extreme_poverty,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,Political_stability,Physical Integrity Rights Index,Disappearance,Extrajudicial Killing,Political Imprisonment,Torture,Freedom of Religion (New),Independence of Judiciary,Inflation,Migration,Control of Corruption: Percentile Rank,Government Effectiveness: Percentile Rank,Political Stability and Absence of Violence/Terrorism: Percentile Rank,Regulatory Quality: Percentile Rank,Rule of Law: Percentile Rank,Voice and Accountability: Percentile Rank
1.407714755,38928341,548,54.422,647500,23.06,1803.987,570,36,13777,27878,1,46.6,0.24,0.38,597.029,18.6,2.581,1.337,0,9.59,0,0,37.746,0.5,0,4,2,0,2,0,0,0,4.873436868,-299999,4.326923,7.692307,0.4761905,10.57692,4.326923,20.68966
1.45944819,2877800,42,104.871,28748,-4.93,11803.431,4320,86.5,9531,1838,3,15.11,0.188,0.232,304.195,38,13.188,8.643,1.1,10.08,7.1,51.2,0,2.89,48.09524,6,2,1,2,1,1,0,1.374891229,-40000,35.09615,57.69231,58.57143,63.46154,39.42308,53.20197
1.881369162,43851043,825,17.348,2381740,-0.39,13913.839,3960,70,6500,11504,1,17.14,0.6,0.101,278.364,29.1,6.211,3.857,0.5,6.73,0.7,30.4,83.741,1.9,9.523809,4,1,1,1,1,0,1,6.800176707,-50002,28.36539,37.01923,18.57143,8.173077,22.11539,21.67488
67.30084773,77265,52,163.755,468,6.6,19000,0,100,3000,855,3,8.71,0,0,109.135,0,0,0,0,7.97,29,37.8,0,0,80.47619,8,2,2,2,2,2,2,0.899930122,0,86.53846,98.55769,97.61905,85.09615,90.86539,83.25123
0.024341066,32866268,8,23.89,1246700,0,5819.495,3330,42,0,166,0,45.11,0.658,0.096,276.045,16.8,2.405,1.362,0,3.94,0,0,26.664,0,22.38095,4,1,1,1,1,1,0,31.13637753,0,11.53846,13.94231,34.76191,12.98077,13.94231,22.6601
0,15002,0,0,102,10.76,8600,0,95,153,3,2,14.17,0.18,0.04,0,0,0,0,0,0,0,0,0,0,79.04762,0,0,0,0,0,0,0,0,0,86.53846,76.44231,94.28571,77.40385,51.44231,0
3.063475206,97928,3,231.845,443,-6.15,21490.943,0,89,72315,26,2,16.93,0.22,0.038,191.511,32.1,6.933,4.631,0,13.17,0,0,0,3.8,0,7,2,2,2,1,2,2,0,0,63.46154,52.88462,70.47619,66.82692,65.38461,69.45813
2.166131583,45195777,979,16.177,2766890,0.61,18933.907,13040,97.1,26929,39557,3,16.73,0.358,0.095,191.032,31.9,11.198,7.441,0.6,5.5,16.2,27.7,0,5,39.52381,5,2,1,2,0,2,1,25.34917599,24002,54.32692,54.80769,46.66667,42.30769,45.67308,66.99507
10.76526525,2963234,319,102.931,29800,-6.47,8787.58,4000,98.6,1798,19157,4,12.07,0.343,0.239,341.01,35.7,11.232,7.571,1.8,7.11,1.5,52.1,94.043,4.2,13.33333,4,2,1,1,0,0,0,2.231565794,-24989,42.78846,51.44231,30.47619,62.5,48.55769,40.39409
2.809883296,106766,3,584.8,193,0,35973.781,0,97,703895,101,2,11.03,0.333,0.004,0,41.2,13.085,7.452,0,11.62,0,0,0,0,79.04762,0,0,0,0,0,0,0,0,1004,87.01923,80.28846,95.71429,77.88461,87.01923,91.62562
0.400001867,25499881,102,3.202,7686850,3.98,44648.71,51360,100,292254,7409,1,12.14,0.262,0.038,107.791,37.9,15.504,10.129,0.5,5.07,13,16.5,0,3.84,65.71429,7,2,2,2,1,2,2,3.701453585,849966,92.78846,92.78846,82.85714,98.07692,92.78846,95.56651
7.639012258,9006400,688,106.749,83870,2,45436.686,45440,98,169790,17185,3,8.74,0.304,0.018,145.183,44.4,19.202,13.748,0.7,6.35,28.4,30.9,0,7.37,70.47619,7,2,2,2,1,2,2,1.55636179,99999,91.34615,90.86539,80.95238,91.34615,97.59615,93.10345
1.370920218,10139175,139,119.309,86600,-4.9,15847.419,4080,97,1500,11329,1,20.74,0.457,0.141,559.812,32.4,6.018,3.871,0,7.11,0.3,42.5,83.241,4.7,11.42857,3,2,1,0,0,0,0,15.95333585,0,21.63461,49.03846,20.95238,37.01923,29.32692,7.881773
2.797217023,393248,11,39.497,13940,-2.2,27717.847,0,95.6,160341,104,2,17.57,0.07,0.03,235.954,34.3,8.996,5.2,0,13.17,3.1,20.4,0,2.9,0,6,2,1,2,1,2,1,0,0,83.17308,71.63461,78.57143,61.05769,57.21154,73.39902
3.349821901,1701583,57,1935.907,665,1.05,43290.705,20240,89.1,99646,20916,1,17.8,0.387,0.005,151.689,32.4,2.372,1.387,0,16.52,5.8,37.6,0,2,9.523809,0,0,0,0,0,0,1,5.704381798,235000,51.44231,59.61538,17.14286,67.78846,66.34615,10.83744
0.842798713,164689383,1388,1265.036,144000,-0.71,3523.984,1470,43.1,2629,105535,2,29.8,0.198,0.199,298.003,27.5,5.098,3.262,14.8,8.38,1,44.7,34.808,0.8,8.095238,2,1,0,1,0,1,0,6.278682233,-2350001,16.82692,21.63461,13.80952,19.23077,28.36539,27.58621
2.435875575,287371,7,664.463,431,-0.31,16978.068,15540,97.4,220045,97,2,12.71,0.16,0.06,170.05,39.8,14.952,9.473,0,13.57,1.9,14.5,88.469,5.8,67.14286,7,2,2,2,1,2,2,4.172068904,2072,88.94231,68.75,81.42857,72.11539,65.86539,84.23645
3.524062734,9449321,333,46.858,207600,2.54,17167.967,5280,99.6,474176,57333,4,11.16,0.316,0.093,443.129,40.3,14.799,9.788,0,5.18,10.5,46.1,0,11,32.85714,4,2,2,0,0,0,0,8.17536314,10000,49.03846,40.38462,58.09524,25.96154,19.23077,11.82266
83.65246959,11589616,9695,375.564,30528,1.23,42658.576,41790,98,1043,60476,3,10.38,0.24,0.01,114.898,41.8,18.571,12.849,0.2,4.29,25.1,31.4,0,5.64,49.04762,8,2,2,2,2,1,2,1.677988141,240000,90.38461,83.65385,59.52381,86.05769,88.46154,94.08867
0.502991542,397621,2,16.426,22966,0,7824.362,4390,94.1,0,22,2,28.84,0.152,0.142,176.957,25,3.853,2.279,0,17.11,0,0,90.083,1.3,32.85714,7,2,2,2,1,2,2,0.095764209,6832,51.92308,30.28846,46.19048,26.44231,20.19231,61.08374
0.090735134,12123198,11,99.11,112620,0,2064.236,800,40.9,3569,650,2,38.85,0.138,0.316,235.848,18.8,3.244,1.942,49.6,0.99,0.6,12.3,11.035,0.5,32.85714,5,2,1,2,0,2,1,0.356904235,-10000,41.34615,32.69231,41.90476,38.94231,26.92308,57.63547
14.45249145,62273,9,1308.82,53,2.49,50669.315,0,98,11373,146,2,11.4,0.1,0.01,139.547,0,0,0,0,13,0,0,0,0,65.71429,0,0,0,0,0,0,0,0,0,86.53846,88.94231,90.95238,77.40385,78.84615,0
0,771612,0,21.188,47000,0,8708.597,2720,42.2,7651,68,2,33.65,0.379,0.258,217.066,28.6,4.885,2.977,1.5,9.75,0,0,79.807,1.7,71.90476,5,2,2,0,1,1,2,7.548929322,0,91.82692,67.30769,88.57143,39.42308,71.63461,49.7537
6.125231078,11673029,715,10.202,1098580,-1.32,6885.829,3130,87.2,36492,22476,1.5,23.3,0.352,0.128,204.299,25.4,6.704,4.393,7.1,6.89,0,0,25.383,1.1,22.85714,5,2,1,1,1,2,0,6.061399101,-50005,28.84615,39.90385,38.09524,15.86539,9.615385,44.33498
5.151159087,3280815,169,68.496,51129,0.31,11713.895,0,0,9066,3273,4,8.77,0.308,0.142,329.635,42.5,16.569,10.711,0.2,10.08,30.2,47.7,97.164,3.5,0,6,2,2,2,0,1,1,0,0,31.73077,28.36539,30.95238,45.19231,46.63462,37.43842
0.042523787,2351625,1,4.044,600370,0,15807.374,6820,79.8,339552,89,1,23.08,0.469,0.024,237.372,25.8,3.941,2.242,0,4.81,5.7,34.4,0,1.8,69.04762,7,2,1,2,2,2,2,3.149397902,15000,77.88461,65.38461,83.33334,68.75,68.75,62.56158
23.03073773,212559409,48954,25.04,8511965,-0.03,14103.452,8580,86.4,132,1032913,2,16.56,0.4,0.084,177.961,33.5,8.552,5.06,3.4,8.11,10.1,17.9,0,2.2,19.04762,2,1,0,1,0,2,1,3.791215029,30000,40.38462,36.05769,31.90476,39.90385,44.23077,60.59113
3.307206403,30237,1,207.973,153,10.01,16000,0,97.8,14754,8,2,14.89,0.062,0.018,0,0,0,0,0,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.685740932,437483,3,81.347,5770,3.59,71809.251,0,93.9,51768,141,2,18.79,0.561,0.036,201.285,32.4,4.591,2.382,0,12.79,2,30.9,0,2.7,0,8,2,2,2,2,0,1,0,0,79.80769,87.01923,91.90476,74.51923,75,24.63054
2.77759988,6948445,193,65.18,110910,-4.58,18563.307,7760,98.6,0,3755,3,9.65,0.304,0.093,424.688,44.7,20.801,13.272,1.5,5.81,30.1,44.4,0,7.454,47.14286,5,2,1,1,1,1,0,1.178293011,-24001,50.96154,62.98077,60.47619,72.59615,53.36538,59.1133
0.25354875,20903278,53,70.151,274200,0,1703.102,610,26.6,284,900,2,45.62,0.196,0.322,269.048,17.6,2.409,1.358,43.7,2.42,1.6,23.9,11.877,0.4,10,5,2,1,2,0,2,0,3.4427594,-125000,53.36538,31.25,13.33333,36.05769,34.61538,43.84237
0.008409877,11890781,1,423.062,27830,-0.06,702.225,290,51.6,12929,104,2,42.22,0.203,0.463,293.068,17.5,2.562,1.504,71.7,6.05,0,0,6.144,0.8,1.904762,2,2,0,0,0,2,0,20.22556256,20000,5.288462,8.173077,7.619048,13.46154,5.769231,5.418719
0,16718971,0,90.672,181040,0,3645.07,1230,69.4,0,129,2,26.9,0.3,0.35,270.892,25.6,4.412,2.385,0,4,2,33.7,66.229,0.8,39.52381,4,2,1,1,0,2,0,3.428652631,-149999,78.36539,64.42308,71.90476,43.26923,67.78846,79.80296
1.130119555,26545864,300,50.885,475440,0,3364.926,1360,79,973558,11281,1.5,33.89,0.17,0.448,244.661,18.8,3.165,1.919,23.8,7.2,0,0,2.735,1.3,8.571428,3,2,1,0,0,2,0,2.760214909,-24000,8.653846,32.21154,51.42857,32.69231,11.05769,13.7931
22.11320355,37742157,8346,4.037,9984670,5.96,44017.591,42870,97,3498,100618,0,10.78,0.294,0.022,105.599,41.4,16.984,10.797,0.5,7.37,12,16.6,0,2.5,72.38095,7,2,2,2,1,2,2,2.273096464,1100000,11.05769,19.71154,8.571428,20.19231,12.5,18.2266
1.438879976,555988,8,135.58,4033,-12.07,6222.554,0,76.6,110,848,3,24.87,0.219,0.121,182.219,25.7,4.46,3.437,0,2.42,2.1,16.5,0,2.1,0,7,2,2,2,1,2,2,0,0,94.71154,94.71154,84.7619,93.75,94.71154,96.05911
1.521606817,65720,1,256.496,262,18.75,49903.029,0,98,3050,195,2,12.74,0.032,0.014,0,0,0,0,0,13.22,0,0,0,0,70.95238,0,0,0,0,0,0,0,0,0,68.26923,85.57692,90,80.76923,76.44231,64.03941
0.393393963,4829764,19,7.479,622984,0,661.24,390,51,0,2605,2,33.91,0.2,0.55,435.727,18.3,3.655,2.251,0,6.1,0,0,16.603,1,3.333333,3,2,0,1,0,0,0,4.510380595,-150000,10.57692,2.884615,2.857143,6.730769,3.846154,14.77833
0.450509164,16425859,74,11.833,1284000,-0.11,1768.153,630,47.5,5342,858,2,45.73,0.259,0.335,280.995,16.7,2.486,1.446,38.4,6.1,0,0,5.818,0,7.142857,3,1,1,1,0,2,0,7.264986197,10000,6.730769,6.730769,8.095238,11.53846,7.211538,8.374384
21.41114904,19116209,4093,24.282,756950,0,22767.037,13610,96.2,232108,231393,3,15.23,0.493,0.06,127.993,35.4,11.087,6.938,1.3,8.46,34.2,41.5,0,2.11,47.14286,5,2,1,2,0,2,2,4.651401381,85285,81.73077,81.73077,61.42857,88.94231,83.65385,82.26601
0.322234655,1439323774,4638,147.674,9596960,-0.4,15308.712,8690,90.9,0,84524,1.5,13.25,0.473,0.125,261.899,38.7,10.641,5.929,0.7,9.74,1.9,48.4,0,4.34,25.23809,0,0,0,0,0,0,0,4.05448338,-1624595,45.67308,69.71154,36.66667,48.07692,48.07692,8.866995
4.019033198,50882884,2045,44.223,1138910,-0.31,13254.949,5830,92.5,131110,63276,2,20.48,0.342,0.125,124.24,32.2,7.646,4.312,4.5,7.44,4.7,13.5,65.386,1.71,11.42857,1,0,0,0,1,2,1,4.820863541,-147004,44.71154,50,17.61905,65.38461,38.46154,52.70936
0.574980307,869595,5,437.352,2170,0,1413.89,760,56.5,0,210,2,36.93,0.04,0.4,261.516,20.4,2.963,1.726,18.1,11.88,4.4,23.6,15.574,2.2,31.42857,8,2,2,2,2,1,1,0.776345328,-10000,22.59615,3.846154,39.04762,11.05769,12.01923,33.00492
2.198615893,5094114,112,96.079,51100,0.51,15524.995,11040,96,59648,2058,2,18.32,0.299,0.088,137.973,33.6,9.468,5.694,1.3,8.78,6.4,17.4,83.841,1.13,52.38095,6,2,1,2,1,1,1,1.978312517,16384,70.67308,67.78846,62.38095,69.23077,69.23077,84.72906
0.185758925,26378275,49,76.399,322460,-0.07,3601.006,0,50.9,374,6444,2,35.11,0.171,0.279,303.74,18.7,2.933,1.582,28.2,2.42,0,0,19.351,0,0,2,1,0,1,0,2,0,0,0,36.53846,31.73077,15.71429,46.15385,30.76923,37.93103
2.606407182,4105268,107,73.726,56542,1.58,22669.797,12430,98.5,66975,2280,0,9.61,0.308,0.07,253.782,44,19.724,13.053,0.7,5.59,34.3,39.9,0,5.54,61.90476,8,2,2,2,2,2,2,1.167417744,-40000,60.09615,69.23077,73.80952,68.26923,62.98077,64.53202
0.750444793,11326616,85,110.408,110860,-1.58,2900,0,97,278519,2305,2,11.89,0.261,0.055,190.968,43.1,14.738,9.719,0,8.27,17.1,53.3,85.198,5.2,60,4,2,2,0,0,0,0,0,-109998,61.05769,44.71154,67.61905,6.25,35.09615,9.852217
2.169199874,875899,19,127.657,9250,0.43,32415.132,23720,97.6,270680,985,3,12.56,0.198,0.037,141.171,37.3,13.416,8.563,0,9.24,19.6,52.7,0,3.4,55.71429,7,2,2,2,1,0,2,1.52089328,25001,74.03846,77.88461,64.7619,81.25,75.96154,80.78818
3.128215175,10708982,335,137.176,78866,0.97,32605.906,0,99.9,0,10460,3,9.02,0.393,0.034,227.485,43.3,19.027,11.58,0,6.82,30.5,38.3,0,6.63,0,8,2,2,2,2,2,2,0,0,69.23077,78.36539,87.14286,87.01923,81.73077,78.32513
0.030146915,89561404,27,35.879,2345410,0,4881.406,0,65.5,0,883,2,43.69,0.11,0.55,344.094,17,3.02,1.745,77.1,6.1,0,0,4.472,0,0,0,0,0,0,0,2,0,0,0,3.846154,5.769231,4.761905,5.769231,2.884615,7.389163
10.35875296,5792203,600,136.52,43094,2.48,46682.515,55220,100,14538,12391,3,11.13,0.246,0.018,114.767,42.3,19.677,12.325,0.2,6.41,19.3,18.8,0,2.5,64.7619,8,2,2,2,2,2,2,1.555341415,75998,98.55769,97.11539,82.38095,94.23077,96.63461,98.02956
4.554646651,988002,45,41.285,23000,0,2705.406,1880,67.9,416,4565,1,39.53,0.225,0.179,258.037,25.4,4.213,2.38,22.5,6.05,1.7,24.5,0,1.4,11.90476,4,2,1,0,1,2,0,0.448845121,4501,26.44231,17.30769,41.42857,24.51923,17.30769,11.33005
0,71991,0,98.567,754,-13.87,9673.367,6990,94,33377,18,2,15.27,0.328,0.177,227.376,0,0,0,0,11.62,0,0,0,3.8,67.61905,8,2,2,2,2,2,2,0.997822968,0,70.19231,40.86538,89.04762,57.69231,74.03846,74.38424
5.96428582,10847904,647,222.873,48730,-3.22,14600.861,6630,84.7,0,25068,2,23.22,0.306,0.112,266.653,27.6,6.981,4.419,1.6,8.2,8.5,19.1,55.182,1.6,39.52381,4,2,0,2,0,2,0,3.672633475,-151333,24.51923,39.42308,47.61905,50.48077,38.94231,51.23153
23.55600446,17643060,4156,66.939,283560,-8.58,10581.936,5890,92.5,90000,49731,2,22.29,0.312,0.07,140.448,28.1,7.104,4.458,3.6,5.55,2,12.3,80.635,1.5,29.52381,4,2,1,1,0,2,0,1.463070759,-30776,32.69231,42.78846,43.33333,16.34615,28.84615,47.29064
1.97098917,102334403,2017,97.999,1001450,-0.22,10550.206,0,57.7,35411,52211,1,22.94,0.357,0.149,525.432,25.3,5.159,2.891,1.3,17.31,0.2,50.1,89.827,1.6,0,0,0,0,0,0,0,1,0,0,30.76923,30.76923,11.90476,17.78846,37.5,13.30049
1.433813106,6486201,93,307.811,21040,-3.74,7292.458,3560,80.2,854,4329,2,26.61,0.302,0.099,167.295,27.6,8.273,5.417,2.2,8.87,2.5,18.8,90.65,1.3,25.23809,4,2,1,1,0,2,0,1.380712237,-202694,29.80769,36.53846,33.33333,53.84615,19.71154,48.27586
2.280851185,1402985,32,45.194,28051,0,22604.873,7060,85.7,0,1664,2,35.59,0.906,0.03,202.812,22.4,2.846,1.752,0,7.78,0,0,24.64,2.1,27.61905,4,1,2,0,1,2,0,12.52914974,79999,2.403846,9.615385,43.80952,4.807693,6.730769,2.463054
0,3546427,0,44.304,121320,0,1510.459,0,58.6,58955,142,1.5,34.33,0.254,0.102,311.11,19.3,3.607,2.171,0,6.05,0.2,11.4,0,0.7,13.80952,0,0,0,0,0,0,0,0,-49999,9.134615,2.403846,24.76191,1.923077,5.288462,0.4926108
5.201505572,1326539,69,31.033,45226,-3.16,29481.252,18190,99.8,714,1979,3,10.04,0.294,0.04,255.569,42.7,19.452,13.491,0.5,4.02,24.5,39.3,0,4.69,59.52381,7,2,2,2,1,2,2,3.977280948,-4999,89.90385,84.61539,66.19048,91.82692,86.53846,89.65517
0.062628528,114963583,72,104.957,1127127,0,1729.927,740,42.7,26517,4070,2,37.98,0.099,0.475,182.634,19.8,3.526,2.063,26.7,7.47,0.4,8.5,7.96,0.3,3.809524,2,1,1,0,0,0,1,6.324334745,-60001,37.5,29.32692,9.523809,13.94231,36.53846,16.25616
0,48865,0,35.308,1399,1.41,22000,0,0,8241,187,0,14.05,0.11,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,896444,0,49.562,18270,-3.14,8702.975,4970,93.7,388,18,2,22.55,0.135,0.089,412.82,28.6,6.224,3.284,1.4,14.49,10.2,34.8,0,2.3,60,5,2,2,1,0,0,1,2.994733505,-20000,67.30769,62.5,70.95238,44.71154,50,54.6798
5.883713988,5540718,326,18.136,338145,0.95,40585.721,44580,100,1300,7133,3,10.45,0.295,0.028,153.507,42.8,21.228,13.264,0,5.76,18.3,22.6,0,3.28,70.95238,8,2,2,2,2,1,2,0.932456147,70000,100,99.03846,81.90476,97.11539,100,98.52217
