T1/deathrate-Tdeath/Tpopu,Xselected1,Xselected2,Xselected3,Xselected4,Xselected5,Xselected6,Xselected7,Xselected8,Xselected9
3.26497E-05,3.973998526,3.281810081,1.971178769,1.860320627,1.101465442,0.78199399,0.632021431,-0.561718887,-1.088342256
5.35131E-05,5.609301903,3.061151935,2.052659729,2.109418452,0.987139633,1.152902543,0.308753343,-0.487208821,-0.744030188
2.73654E-05,4.604040823,3.01397796,1.755110767,2.347943969,1.60039917,1.030956909,0.422627394,-0.244951756,-0.933053848
0.000673008,6.270708701,2.928368781,1.960612861,0.979906693,1.365499048,1.32480766,-0.022682456,-0.344159035,-0.710478247
1.46046E-06,4.232681717,3.314986665,2.050917196,1.732857727,1.165984817,0.973923506,0.447464026,-0.429780439,-1.529178244
0,5.327613291,2.196833246,2.275702076,0.957270295,1.574441002,0.831647093,0.018306989,-0.450100523,-1.012857095
3.06348E-05,5.590887208,2.914760256,2.061118859,1.650924482,1.128299292,1.073387553,0.683271948,-0.307738738,-0.675946677
7.32591E-05,5.571153268,3.031414517,2.19816145,2.054052933,0.964694607,1.083635528,0.25244961,-0.479598456,-0.833655748
0.000249052,5.307864721,3.126924289,2.012277285,2.508295668,1.795728401,1.02847526,0.323467476,-0.601104114,-0.325995486
2.80988E-05,6.131938855,2.374505961,2.1183803,1.602336734,1.426545889,0.564469391,0.457043129,-0.583422972,-1.088070695
7.4118E-06,6.620101146,2.879313689,1.979409169,1.726446,1.022195045,0.61362984,0.354819338,-0.418024716,-1.175684434
7.97211E-05,6.838260773,2.989553658,1.99997103,2.050759496,0.869531974,0.815515603,0.332851753,-0.584523813,-0.820679292
4.34947E-05,4.744833535,2.974110759,2.042119445,2.498122059,1.730012672,1.0671859,0.188676708,-0.316652753,-1.023206523
3.56009E-05,5.746039161,2.864544311,2.086638961,1.73283699,1.177113866,1.098250751,0.486217343,-0.457648692,-0.726435222
8.58025E-05,5.110607081,2.173042204,2.285101223,2.11292637,1.372089895,1.236092748,0.492132126,-0.639941443,-1.255351227
1.87201E-05,4.420531759,2.99209991,1.859806466,2.121415423,1.268867761,1.106569211,0.357290049,-0.799954573,-0.924155826
2.43588E-05,6.140699159,3.245917596,1.721702283,2.07259986,1.712015963,0.634957408,0.491716797,-0.155218551,-0.861564451
5.85227E-05,5.354783718,2.94944547,2.327591224,2.442733989,0.807133922,1.243765966,0.10546405,-0.462480996,-0.600435094
0.000849208,6.613651253,3.068246782,1.997282495,2.039250623,0.81827508,0.837689797,0.379088281,-0.599647929,-0.661816818
5.02992E-06,4.979964311,3.35712317,1.859596453,1.902976893,1.715255621,0.773112537,0.710151147,0.067724309,-0.726914294
2.88703E-06,4.743442485,3.446449218,1.987078043,1.379906468,1.070374676,0.802457836,0.337400394,-0.876621306,-0.943858441
0.000144525,5.488763497,2.034237194,2.362102413,1.06635952,1.660681782,0.997911653,0.302655491,-0.419436817,-1.126383789
0,5.483218242,3.310751457,1.725273658,1.509328148,1.878431512,0.782921066,0.679810166,-0.538396262,-1.19464394
0.000247922,4.771097659,3.070270471,2.076043145,1.866551903,1.135834248,0.817439497,0.46182189,-0.176477773,-0.845922981
9.99752E-05,5.192199245,3.309181437,1.15349794,2.701537971,1.267997227,1.180598496,0.65383161,-0.914826779,-0.373104519
8.50476E-07,5.799048451,3.24486994,2.130105409,1.416987906,1.204641698,1.12959935,0.139611497,-0.484967448,-1.291221552
0.000429353,5.141804505,2.644681832,2.158987778,2.075438141,1.017653429,0.801815331,0.379639307,-0.596351945,-0.843138298
3.30721E-05,3.917718603,2.292439012,2.297191536,1.771487389,1.021197985,0.972856814,0.364108168,-0.106640679,-0.650412621
6.85741E-06,5.845036254,2.796294412,2.271064564,1.693378492,1.358771193,1.573256276,0.710884922,-0.339188278,-0.982374437
0.000053825,6.041440582,3.000041401,2.084333581,2.430333303,0.760373556,0.956058329,0.043996279,-0.639759284,-0.665890266
2.53549E-06,4.572983568,3.448720358,2.001982304,1.508676457,1.097792016,0.996973759,0.449910861,-1.105992581,-0.968427766
8.40988E-08,3.897912131,3.330283015,2.42818422,1.762076822,0.989003667,0.840654831,0.409954721,-0.963731701,-1.142244817
0,5.434120705,3.229744653,1.789121306,1.628961701,1.808109862,0.891461858,0.252026564,-0.665749818,-0.875776422
1.45785E-05,4.419358712,3.066781746,2.355742612,1.651726634,1.073580857,0.81506086,0.317114405,-0.530186663,-0.980995825
0.000236579,5.141515167,2.929572286,1.999092087,2.450486541,0.432931763,0.587204746,0.392412805,0.163112655,-1.336614353
4.13678E-05,6.039527103,3.046532782,2.027429072,1.238633777,1.395993253,1.136122878,0.481296931,-0.836813924,-0.45845015
1.52161E-05,5.616739143,2.157880021,2.196827091,0.981142079,1.596086446,0.826016587,0.245477476,-0.393884439,-1.050122829
1.22159E-05,4.023303291,3.182874264,2.134943131,1.837324064,0.967063617,0.794975491,0.494712596,-0.60924707,-0.817235001
4.56597E-06,3.987118163,3.259466858,2.300865784,1.709620501,0.952993516,0.855731525,0.52576939,-0.776446344,-1.009977436
0.000490526,6.250190228,2.860895915,2.107458376,1.957453765,1.161903454,1.142633304,0.276056577,-0.75418445,-0.792486401
3.23694E-06,5.185956717,2.329635811,2.312776893,2.377836238,1.265359206,1.099497542,0.152671238,-0.75782359,-1.176783855
0.000192796,5.024384005,2.724116387,2.032061079,2.1880646,1.661909693,0.677715695,0.401508293,-0.607446941,-0.712734352
8.04972E-06,4.552789934,3.564536715,1.951260229,1.710824025,0.939083458,1.110357174,0.498574846,-0.292012174,-0.924445974
1.01484E-05,4.287168865,3.360531009,2.275214906,2.130117586,1.391248872,1.242215943,0.249286975,-0.525555835,-0.900227709
2.74827E-05,5.817327388,3.162418626,1.776031083,1.914209485,1.796187336,0.699420478,0.464638235,-0.29470301,-0.779597606
0.000003791,4.47831927,3.010803713,2.108583078,1.587627812,1.210696732,0.716134431,0.429846466,-0.943841919,-0.778594045
3.50769E-05,6.218458551,3.114596122,1.804946956,2.24777402,0.6994102,0.867989511,-0.040332733,-0.280281007,-1.193365406
7.68102E-06,5.359536168,3.062805181,1.772999115,2.604959399,1.523620401,0.953042812,0.044157223,-0.199169457,-0.882264294
0.000021692,6.290098703,3.004595183,2.031026874,1.979073082,1.031215996,1.134455527,0.285035719,-0.550118686,-0.77101085
3.53909E-05,6.372641632,3.072119875,2.039597902,2.199634783,0.876257934,1.213656266,0.258337839,-0.633012979,-0.486098688
2.38942E-06,3.805550242,3.1704504,2.528077983,1.765025049,0.993515633,0.602947031,0.30619674,-1.020782854,-1.00079272
0.000106177,6.833577342,3.026825947,2.053406807,1.823955415,0.939818133,0.695228568,0.562316876,-0.549632929,-0.804839902
5.87043E-05,4.488776829,3.166240256,2.237918971,1.798013929,0.963946737,1.000422966,0.271380711,-0.59528127,-1.126786977
0,5.61293837,3.127512141,2.079355815,0.981981967,1.292436254,1.134995643,0.396302181,0.013027067,-0.861096412
0.000105643,5.10780231,3.027050198,1.913641103,1.997945119,1.456315401,0.834823286,0.366747233,-0.312114192,-0.819535172
